prime,index,p2p
3,1,1
5,2,1
7,3,2
11,4,3
13,5,3
17,6,4
19,7,4
23,8,5
29,9,6
31,10,7
37,11,9
41,12,9
43,13,9
47,14,9
53,15,11
59,16,13
61,17,12
67,18,13
71,19,14
73,20,13
79,21,15
83,22,15
89,23,16
97,24,19
101,25,20
103,26,19
107,27,19
109,28,18
113,29,18
127,30,23
131,31,23
137,32,25
139,33,25
149,34,27
151,35,26
157,36,28
163,37,28
167,38,28
173,39,28
179,40,30
181,41,30
191,42,32
193,43,32
197,44,32
199,45,32
211,46,35
223,47,38
227,48,38
229,49,38
233,50,39
239,51,39
241,52,39
251,53,41
257,54,42
263,55,43
269,56,42
271,57,42
277,58,42
281,59,42
283,60,42
293,61,44
307,62,49
311,63,50
313,64,49
317,65,49
331,66,54
337,67,54
347,68,56
349,69,55
353,70,55
359,71,55
367,72,57
373,73,58
379,74,59
383,75,59
389,76,60
397,77,60
401,78,60
409,79,61
419,80,64
421,81,64
431,82,66
433,83,66
439,84,66
443,85,67
449,86,67
457,87,68
461,88,68
463,89,67
467,90,67
479,91,70
487,92,71
491,93,71
499,94,73
503,95,72
509,96,73
521,97,77
523,98,76
541,99,80
547,100,82
557,101,84
563,102,85
569,103,85
571,104,84
577,105,85
587,106,86
593,107,86
599,108,87
601,109,87
607,110,87
613,111,88
617,112,89
619,113,89
631,114,90
641,115,91
643,116,91
647,117,92
653,118,94
659,119,94
661,120,95
673,121,95
677,122,94
683,123,94
691,124,96
701,125,96
709,126,96
719,127,99
727,128,102
733,129,102
739,130,102
743,131,103
751,132,106
757,133,106
761,134,105
769,135,106
773,136,106
787,137,110
797,138,111
809,139,115
811,140,116
821,141,117
823,142,116
827,143,115
829,144,115
839,145,117
853,146,119
857,147,119
859,148,118
863,149,119
877,150,122
881,151,122
883,152,121
887,153,120
907,154,125
911,155,124
919,156,125
929,157,125
937,158,128
941,159,129
947,160,129
953,161,129
967,162,132
971,163,131
977,164,132
983,165,131
991,166,132
997,167,133
1009,168,137
1013,169,136
1019,170,137
1021,171,137
1031,172,137
1033,173,137
1039,174,137
1049,175,140
1051,176,140
1061,177,141
1063,178,140
1069,179,142
1087,180,145
1091,181,145
1093,182,144
1097,183,143
1103,184,143
1109,185,144
1117,186,144
1123,187,146
1129,188,146
1151,189,152
1153,190,151
1163,191,152
1171,192,154
1181,193,156
1187,194,156
1193,195,158
1201,196,160
1213,197,162
1217,198,161
1223,199,162
1229,200,162
1231,201,162
1237,202,163
1249,203,163
1259,204,163
1277,205,168
1279,206,168
1283,207,167
1289,208,166
1291,209,166
1297,210,167
1301,211,166
1303,212,165
1307,213,165
1319,214,167
1321,215,166
1327,216,166
1361,217,179
1367,218,180
1373,219,180
1381,220,181
1399,221,185
1409,222,186
1423,223,189
1427,224,189
1429,225,189
1433,226,189
1439,227,188
1447,228,189
1451,229,189
1453,230,189
1459,231,190
1471,232,191
1481,233,192
1483,234,192
1487,235,193
1489,236,192
1493,237,191
1499,238,190
1511,239,193
1523,240,195
1531,241,196
1543,242,198
1549,243,198
1553,244,197
1559,245,197
1567,246,198
1571,247,198
1579,248,197
1583,249,197
1597,250,201
1601,251,200
1607,252,201
1609,253,201
1613,254,201
1619,255,201
1621,256,200
1627,257,201
1637,258,203
1657,259,206
1663,260,207
1667,261,208
1669,262,207
1693,263,212
1697,264,213
1699,265,212
1709,266,213
1721,267,213
1723,268,212
1733,269,215
1741,270,216
1747,271,216
1753,272,216
1759,273,217
1777,274,222
1783,275,223
1787,276,223
1789,277,222
1801,278,224
1811,279,226
1823,280,229
1831,281,229
1847,282,232
1861,283,235
1867,284,236
1871,285,236
1873,286,235
1877,287,234
1879,288,233
1889,289,235
1901,290,237
1907,291,237
1913,292,238
1931,293,241
1933,294,241
1949,295,243
1951,296,242
1973,297,249
1979,298,249
1987,299,249
1993,300,248
1997,301,248
1999,302,247
2003,303,248
2011,304,251
2017,305,251
2027,306,252
2029,307,252
2039,308,252
2053,309,255
2063,310,255
2069,311,257
2081,312,260
2083,313,259
2087,314,258
2089,315,258
2099,316,257
2111,317,260
2113,318,259
2129,319,263
2131,320,264
2137,321,265
2141,322,264
2143,323,264
2153,324,265
2161,325,264
2179,326,268
2203,327,271
2207,328,271
2213,329,272
2221,330,272
2237,331,275
2239,332,274
2243,333,275
2251,334,275
2267,335,279
2269,336,278
2273,337,277
2281,338,279
2287,339,279
2293,340,279
2297,341,279
2309,342,280
2311,343,280
2333,344,286
2339,345,286
2341,346,286
2347,347,286
2351,348,285
2357,349,285
2371,350,288
2377,351,288
2381,352,288
2383,353,287
2389,354,286
2393,355,286
2399,356,288
2411,357,291
2417,358,291
2423,359,290
2437,360,291
2441,361,291
2447,362,291
2459,363,292
2467,364,294
2473,365,295
2477,366,295
2503,367,302
2521,368,306
2531,369,307
2539,370,307
2543,371,307
2549,372,307
