len,count,missing,max
3 , 5 , 0 , 14
4 , 8 , 1 , 22
5 , 11 , 0 , 26
6 , 14 , 1 , 34
7 , 17 , 0 , 38
8 , 20 , 1 , 46
9 , 23 , 4 , 58
10 , 28 , 1 , 62
11 , 32 , 3 , 74
12 , 37 , 2 , 82
13 , 40 , 1 , 86
14 , 44 , 1 , 94
15 , 47 , 4 , 106
16 , 50 , 7 , 118
17 , 57 , 2 , 122
18 , 61 , 4 , 134
19 , 66 , 3 , 142
20 , 70 , 1 , 146
21 , 73 , 4 , 158
22 , 78 , 3 , 166
23 , 83 , 4 , 178
24 , 89 , 6 , 194
25 , 94 , 5 , 202
26 , 99 , 2 , 206
27 , 103 , 2 , 214
28 , 107 , 0 , 218
29 , 110 , 1 , 226
30 , 117 , 8 , 254
31 , 122 , 7 , 262
32 , 127 , 8 , 274
33 , 134 , 3 , 278
34 , 139 , 8 , 298
35 , 144 , 5 , 302
36 , 150 , 5 , 314
37 , 154 , 7 , 326
38 , 160 , 5 , 334
39 , 165 , 6 , 346
40 , 170 , 7 , 358
41 , 177 , 2 , 362
42 , 181 , 8 , 382
43 , 187 , 4 , 386
44 , 192 , 3 , 394
45 , 196 , 1 , 398
46 , 202 , 7 , 422
47 , 207 , 14 , 446
48 , 215 , 10 , 454
49 , 220 , 7 , 458
50 , 227 , 4 , 466
51 , 231 , 6 , 478
52 , 236 , 3 , 482
53 , 242 , 7 , 502
54 , 247 , 8 , 514
55 , 250 , 11 , 526
56 , 253 , 14 , 538
57 , 261 , 8 , 542
58 , 269 , 6 , 554
59 , 274 , 5 , 562
60 , 278 , 3 , 566
61 , 283 , 8 , 586
62 , 291 , 14 , 614
63 , 299 , 10 , 622
64 , 304 , 7 , 626
65 , 309 , 6 , 634
66 , 318 , 11 , 662
67 , 322 , 13 , 674
68 , 330 , 15 , 694
69 , 337 , 10 , 698
70 , 344 , 7 , 706
71 , 350 , 7 , 718
72 , 356 , 9 , 734
73 , 361 , 10 , 746
74 , 366 , 11 , 758
75 , 373 , 8 , 766
76 , 378 , 9 , 778
77 , 385 , 10 , 794
78 , 392 , 7 , 802
79 , 398 , 9 , 818
80 , 404 , 13 , 838
81 , 410 , 9 , 842
82 , 416 , 13 , 862
83 , 421 , 10 , 866
84 , 428 , 9 , 878
85 , 435 , 6 , 886
86 , 441 , 6 , 898
87 , 447 , 8 , 914
88 , 452 , 7 , 922
89 , 458 , 3 , 926
90 , 463 , 2 , 934
91 , 468 , 9 , 958
92 , 475 , 10 , 974
93 , 479 , 10 , 982
94 , 487 , 10 , 998
95 , 491 , 10 , 1006
96 , 499 , 8 , 1018
97 , 504 , 15 , 1042
98 , 512 , 9 , 1046
99 , 519 , 20 , 1082
100 , 527 , 18 , 1094
101 , 536 , 19 , 1114
102 , 543 , 18 , 1126
103 , 548 , 19 , 1138
104 , 557 , 12 , 1142
105 , 564 , 11 , 1154
106 , 572 , 13 , 1174
107 , 577 , 14 , 1186
108 , 582 , 15 , 1198
109 , 588 , 11 , 1202
110 , 594 , 11 , 1214
111 , 602 , 9 , 1226
112 , 609 , 6 , 1234
113 , 614 , 3 , 1238
114 , 619 , 10 , 1262
115 , 627 , 12 , 1282
116 , 631 , 10 , 1286
117 , 638 , 7 , 1294
118 , 644 , 7 , 1306
119 , 648 , 9 , 1318
120 , 656 , 3 , 1322
121 , 661 , 10 , 1346
122 , 667 , 8 , 1354
123 , 672 , 9 , 1366
124 , 679 , 10 , 1382
125 , 685 , 14 , 1402
126 , 692 , 15 , 1418
127 , 698 , 19 , 1438
128 , 704 , 21 , 1454
129 , 714 , 17 , 1466
130 , 723 , 14 , 1478
131 , 731 , 10 , 1486
132 , 735 , 14 , 1502
133 , 739 , 16 , 1514
134 , 747 , 12 , 1522
135 , 751 , 16 , 1538
136 , 763 , 8 , 1546
137 , 768 , 17 , 1574
138 , 777 , 18 , 1594
139 , 786 , 21 , 1618
140 , 795 , 14 , 1622
141 , 800 , 19 , 1642
142 , 806 , 15 , 1646
143 , 815 , 10 , 1654
144 , 823 , 4 , 1658
145 , 829 , 8 , 1678
146 , 837 , 14 , 1706
147 , 843 , 12 , 1714
148 , 850 , 7 , 1718
149 , 856 , 5 , 1726
150 , 863 , 12 , 1754
151 , 868 , 11 , 1762
152 , 874 , 7 , 1766
153 , 878 , 7 , 1774
154 , 884 , 21 , 1814
155 , 889 , 20 , 1822
156 , 901 , 16 , 1838
157 , 911 , 16 , 1858
158 , 918 , 17 , 1874
159 , 926 , 13 , 1882
160 , 932 , 13 , 1894
161 , 937 , 14 , 1906
162 , 945 , 20 , 1934
163 , 950 , 19 , 1942
164 , 954 , 21 , 1954
165 , 961 , 20 , 1966
166 , 971 , 18 , 1982
167 , 979 , 16 , 1994
168 , 990 , 17 , 2018
169 , 997 , 14 , 2026
170 , 1003 , 14 , 2038
171 , 1010 , 9 , 2042
172 , 1017 , 12 , 2062
173 , 1024 , 7 , 2066
174 , 1032 , 5 , 2078
175 , 1038 , 9 , 2098
176 , 1042 , 7 , 2102
177 , 1048 , 11 , 2122
178 , 1053 , 8 , 2126
179 , 1059 , 8 , 2138
180 , 1065 , 20 , 2174
181 , 1073 , 16 , 2182
182 , 1078 , 13 , 2186
183 , 1086 , 9 , 2194
184 , 1094 , 7 , 2206
185 , 1098 , 9 , 2218
186 , 1106 , 9 , 2234
187 , 1111 , 10 , 2246
188 , 1116 , 11 , 2258
189 , 1125 , 24 , 2302
190 , 1133 , 18 , 2306
191 , 1142 , 19 , 2326
192 , 1150 , 19 , 2342
193 , 1160 , 19 , 2362
194 , 1168 , 17 , 2374
195 , 1173 , 18 , 2386
196 , 1181 , 18 , 2402
197 , 1189 , 22 , 2426
198 , 1198 , 17 , 2434
199 , 1203 , 18 , 2446
200 , 1208 , 19 , 2458
201 , 1219 , 10 , 2462
202 , 1226 , 9 , 2474
203 , 1234 , 13 , 2498
204 , 1241 , 16 , 2518
205 , 1251 , 24 , 2554
206 , 1260 , 17 , 2558
207 , 1268 , 13 , 2566
208 , 1272 , 15 , 2578
209 , 1280 , 9 , 2582
210 , 1286 , 9 , 2594
211 , 1293 , 6 , 2602
212 , 1298 , 3 , 2606
213 , 1303 , 2 , 2614
214 , 1308 , 9 , 2638
215 , 1314 , 5 , 2642
216 , 1320 , 5 , 2654
217 , 1331 , 28 , 2722
218 , 1338 , 27 , 2734
219 , 1344 , 27 , 2746
220 , 1354 , 25 , 2762
221 , 1366 , 31 , 2798
222 , 1378 , 29 , 2818
223 , 1388 , 33 , 2846
224 , 1396 , 29 , 2854
225 , 1406 , 21 , 2858
226 , 1413 , 18 , 2866
227 , 1420 , 17 , 2878
228 , 1429 , 16 , 2894
229 , 1435 , 14 , 2902
230 , 1441 , 10 , 2906
231 , 1447 , 10 , 2918
232 , 1453 , 16 , 2942
233 , 1463 , 16 , 2962
234 , 1469 , 12 , 2966
235 , 1477 , 8 , 2974
236 , 1483 , 4 , 2978
237 , 1487 , 4 , 2986
238 , 1491 , 6 , 2998
239 , 1497 , 12 , 3022
240 , 1503 , 18 , 3046
241 , 1514 , 15 , 3062
242 , 1521 , 20 , 3086
243 , 1529 , 18 , 3098
244 , 1537 , 14 , 3106
245 , 1544 , 13 , 3118
246 , 1552 , 13 , 3134
247 , 1558 , 11 , 3142
248 , 1565 , 12 , 3158
249 , 1569 , 12 , 3166
250 , 1577 , 18 , 3194
251 , 1586 , 13 , 3202
252 , 1593 , 12 , 3214
253 , 1600 , 7 , 3218
254 , 1604 , 7 , 3226
255 , 1607 , 10 , 3238
256 , 1614 , 5 , 3242
257 , 1619 , 6 , 3254
258 , 1626 , 9 , 3274
259 , 1633 , 22 , 3314
260 , 1641 , 20 , 3326
261 , 1649 , 16 , 3334
262 , 1655 , 12 , 3338
263 , 1663 , 28 , 3386
264 , 1672 , 23 , 3394
265 , 1677 , 20 , 3398
266 , 1689 , 18 , 3418
267 , 1699 , 20 , 3442
268 , 1706 , 15 , 3446
269 , 1713 , 18 , 3466
270 , 1723 , 16 , 3482
271 , 1729 , 16 , 3494
272 , 1734 , 17 , 3506
273 , 1739 , 18 , 3518
274 , 1745 , 30 , 3554
275 , 1750 , 31 , 3566
276 , 1762 , 23 , 3574
277 , 1767 , 20 , 3578
278 , 1771 , 28 , 3602
279 , 1784 , 25 , 3622
280 , 1794 , 27 , 3646
281 , 1802 , 27 , 3662
282 , 1812 , 33 , 3694
283 , 1820 , 39 , 3722
284 , 1828 , 37 , 3734
285 , 1839 , 30 , 3742
286 , 1847 , 24 , 3746
287 , 1856 , 19 , 3754
288 , 1862 , 15 , 3758
289 , 1872 , 15 , 3778
290 , 1877 , 22 , 3802
291 , 1886 , 19 , 3814
292 , 1890 , 21 , 3826
293 , 1898 , 31 , 3862
294 , 1911 , 20 , 3866
295 , 1919 , 28 , 3898
296 , 1928 , 21 , 3902
297 , 1936 , 35 , 3946
298 , 1944 , 33 , 3958
299 , 1960 , 25 , 3974
300 , 1968 , 23 , 3986
301 , 1974 , 21 , 3994
302 , 1981 , 16 , 3998
303 , 1988 , 13 , 4006
304 , 1996 , 13 , 4022
305 , 2002 , 13 , 4034
306 , 2009 , 16 , 4054
307 , 2015 , 12 , 4058
308 , 2024 , 13 , 4078
309 , 2033 , 18 , 4106
310 , 2041 , 20 , 4126
311 , 2050 , 17 , 4138
312 , 2057 , 22 , 4162
313 , 2067 , 14 , 4166
314 , 2074 , 11 , 4174
315 , 2082 , 5 , 4178
316 , 2087 , 10 , 4198
317 , 2092 , 17 , 4222
318 , 2099 , 12 , 4226
319 , 2105 , 22 , 4258
320 , 2114 , 15 , 4262
321 , 2123 , 12 , 4274
322 , 2130 , 9 , 4282
323 , 2135 , 6 , 4286
324 , 2141 , 10 , 4306
325 , 2147 , 12 , 4322
326 , 2155 , 22 , 4358
327 , 2162 , 39 , 4406
328 , 2175 , 30 , 4414
329 , 2187 , 24 , 4426
330 , 2195 , 24 , 4442
331 , 2204 , 31 , 4474
332 , 2213 , 24 , 4478
333 , 2224 , 17 , 4486
334 , 2234 , 15 , 4502
335 , 2241 , 24 , 4534
336 , 2247 , 20 , 4538
337 , 2253 , 18 , 4546
338 , 2259 , 20 , 4562
339 , 2267 , 18 , 4574
340 , 2274 , 17 , 4586
341 , 2281 , 14 , 4594
342 , 2290 , 17 , 4618
343 , 2296 , 13 , 4622
344 , 2305 , 26 , 4666
345 , 2314 , 23 , 4678
346 , 2322 , 17 , 4682
347 , 2329 , 16 , 4694
348 , 2339 , 10 , 4702
349 , 2346 , 9 , 4714
350 , 2353 , 16 , 4742
351 , 2360 , 15 , 4754
352 , 2366 , 13 , 4762
353 , 2372 , 9 , 4766
354 , 2378 , 9 , 4778
355 , 2385 , 6 , 4786
356 , 2391 , 6 , 4798
357 , 2397 , 12 , 4822
358 , 2401 , 14 , 4834
359 , 2404 , 17 , 4846
